Account ID,Line Item,Start Time,End Time,Project,Measurement1,Measurement1 Total Consumption,Measurement1 Units,Credit1,Credit1 Amount,Credit1 Currency,Cost,Currency,Project Number,Project ID,Project Name,Project Labels,Description
0076DC-766E1F-EBDCB8,com.google.cloud/services/cloud-storage/StorageDurableReducedRedundancyUsGbsec,2016-09-11T00:00:00-07:00,2016-09-12T00:00:00-07:00,523315467662,com.google.cloud/services/cloud-storage/StorageDurableReducedRedundancyUsGbsec,223459561472,byte-seconds,,,,0.000001,USD,523315467662,cma-test,CF-CMA,,Durable Reduced Availability Storage US
0076DC-766E1F-EBDCB8,com.google.cloud/services/cloud-storage/StorageStandardUsGbsec,2016-09-11T00:00:00-07:00,2016-09-12T00:00:00-07:00,1015639972876,com.google.cloud/services/cloud-storage/StorageStandardUsGbsec,354486672384,byte-seconds,,,,0.000003,USD,1015639972876,stevenson-cf,stevenson-cf,,Standard Storage US
0076DC-766E1F-EBDCB8,com.google.cloud/services/cloud-storage/StorageStandardUsGbsec,2016-09-11T00:00:00-07:00,2016-09-12T00:00:00-07:00,1096431713348,com.google.cloud/services/cloud-storage/StorageStandardUsGbsec,12065558946816,byte-seconds,,,,0.000112,USD,1096431713348,pivotal-1211,Pivotal,tag:edu,Standard Storage US
0076DC-766E1F-EBDCB8,com.google.cloud/services/cloud-storage/StorageStandardUsGbsec,2016-09-11T00:00:00-07:00,2016-09-12T00:00:00-07:00,549019880873,com.google.cloud/services/cloud-storage/StorageStandardUsGbsec,3052961166125056,byte-seconds,,,,0.02852,USD,549019880873,ops-manager-ci,Ops-Manager CI,,Standard Storage US
0076DC-766E1F-EBDCB8,com.google.cloud/services/cloud-storage/StorageStandardUsGbsec,2016-09-11T00:00:00-07:00,2016-09-12T00:00:00-07:00,166117925349,com.google.cloud/services/cloud-storage/StorageStandardUsGbsec,236707160543232,byte-seconds,,,,0.002211,USD,166117925349,cf-capi,CF-CAPI,,Standard Storage US
0076DC-766E1F-EBDCB8,com.google.cloud/services/cloud-storage/StorageStandardUsGbsec,2016-09-11T00:00:00-07:00,2016-09-12T00:00:00-07:00,651440090719,com.google.cloud/services/cloud-storage/StorageStandardUsGbsec,3100536305661952,byte-seconds,,,,0.028965,USD,651440090719,bosh-cpi,CF-BOSH CPI,,Standard Storage US
0076DC-766E1F-EBDCB8,com.google.cloud/services/compute-engine/ForwardingRuleCharge,2016-09-11T00:00:00-07:00,2016-09-12T00:00:00-07:00,1005877548675,com.google.cloud/services/compute-engine/ForwardingRuleCharge,345600,seconds,,,,0,USD,1005877548675,cf-docs,CF-Docs,,Network Load Balancing: Forwarding Rule Service Charge in Americas
0076DC-766E1F-EBDCB8,com.google.cloud/services/compute-engine/ForwardingRuleCharge,2016-09-11T00:00:00-07:00,2016-09-12T00:00:00-07:00,717183494354,com.google.cloud/services/compute-engine/ForwardingRuleCharge,259200,seconds,,,,0,USD,717183494354,pcfongcp,PCFonGCP,,Network Load Balancing: Forwarding Rule Service Charge in Americas
0076DC-766E1F-EBDCB8,com.google.cloud/services/compute-engine/ForwardingRuleCharge,2016-09-11T00:00:00-07:00,2016-09-12T00:00:00-07:00,516400491046,com.google.cloud/services/compute-engine/ForwardingRuleCharge,172112,seconds,,,,0,USD,516400491046,fe-vrussoiii,FE-vrussoiii,,Network Load Balancing: Forwarding Rule Service Charge in Americas
0076DC-766E1F-EBDCB8,com.google.cloud/services/compute-engine/ForwardingRuleCharge,2016-09-11T00:00:00-07:00,2016-09-12T00:00:00-07:00,473311414883,com.google.cloud/services/compute-engine/ForwardingRuleCharge,172800,seconds,,,,0,USD,473311414883,soy-beaker-140618,FE-emikuszewski,,Network Load Balancing: Forwarding Rule Service Charge in Americas
